club name,club description,club sponsor,club email,club recognition_year
Sigma Alpha Epsilon,"The vision of Sigma Alpha Epsilon is to prepare every brother to become a respectful, loyal, and accountable individual guided by The True Gentleman.

The mission of Sigma Alpha Epsilon is to attract and strengthen members committed to brotherhood, academics, service, and personal development.","Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaAlphaEpsilon.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Chi,Fraternity,"Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaChi.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Delta Omega,"Sigma Delta Omega is Oregon State University's only sorority for women in science. The organization is dedicated to supporting women in science through social engagement, encouraging academic excellence, and building relations with the Corvallis community.","Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaDeltaOmega.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Kappa,Sigma Kappa Sorority,"Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaKappa.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Nu,"Sigma Nu was founded at Virginia Military Institute, in 1869, on three core values of Love, Honor, and Truth which direct the actions of the members. Sigma Nu is the only social fraternity in existence founded in firm opposition to hazing based on the principle of Honor. The Delta Tau Chapter of Sigma Nu was originally started in 1917 at Oregon State University. In the winter quarter of 2015, the Delta Tau Chapter of Sigma Nu was restarted, and has quickly grown in membership. The Delta Tau Chapter of Sigma Nu, at Oregon State University, will strive to uphold the values of Love, Honor, and Truth while maintaining an environment of inclusivity and diversity. Our passion for these values will enable members to positively impact the surrounding community. As members, we dedicate ourselves to these values in order to become true gentlemen who challenge the status quo. Our Chapter will relentlessly pursue excellence, while never compromising our values. The chance to create a legacy starts with becoming a Sigma Nu.","Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaNu.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Phi Epsilon,Fraternity - Partnering in Higher Education,"Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaPhiEpsilon.clubs@oregonstate.edu,Recognized For: 2023/2024
Sigma Pi,"We are a fraternity of gentlemen, and the ideals of Sigma Pi are shaping each of us into the next generation of leaders. Sigma Pi men come from a wide variety of backgrounds and cultures that are bonded together by the brotherhood that is Sigma Pi Fraternity. The Omega Chapter of Sigma Pi strives to be a well-rounded house that promotes excellence at Oregon State University.","Affiliated Student Organization, Center for Fraternity & Sorority Life",SigmaPi.clubs@oregonstate.edu,Recognized For: 2023/2024
Silver Talons Drill Team,US Air Force ROTC Detachment 685 Oregon State University Silver Talons Drill Team,"Voluntary Student Organization, Student Experiences & Engagement",SilverTalons.clubs@oregonstate.edu,Recognized For: 2023/2024
Skate Club,"A friendly and welcoming community of skaters from all backgrounds, skill levels, and disciplines (skateboarding, rollerskating, etc.). We invite anyone who wants to foster a supportive community of people who share a passion for skating and actively advocate for skaters and skating activities. Skate Club meets every Wednesday off-campus at Chintimini Park from 6:00 pm to 8:00 pm.","Affiliated Student Organization, Student Experiences & Engagement",Skate.clubs@oregonstate.edu,Recognized For: 2023/2024
SNOW.S.U,SNOW.S.U aims to bring students with a shared love of skiing and snowboarding together by providing access to affordable carpool and lift ticket options.,"Voluntary Student Organization, Student Experiences & Engagement",SNOWSU.clubs@oregonstate.edu,Recognized For: 2023/2024
SOA Peer Educators (Test),SOA Peer Educators test,"Voluntary Student Organization, Student Experiences & Engagement",SOAPeerEducatorsTest.clubs@oregonstate.edu,Recognized For: 2023/2024
Society for Advancement of Chicanos and Native Americans in Science at Oregon State University Chapter,"To further the work of, to improve, and enhance the public understanding of and appreciation for Chicanos, Latinos, Native Americans, Alaska Natives, Native Hawaiians, and other underrepresented minorities in science.",Sponsored Student Organization sponsored by College of Agricultural Sciences,SACNAS.clubs@oregonstate.edu,Recognized For: 2023/2024
"Society for Industrial & Applied Mathematics, at Oregon State University Student Chapter of","SIAM is an international professional organization which advances the role of applied mathematics in science, industry, and engineering. While the Oregon State Chapter has in the past been primarily a graduate student club, it is open to all interested students.","Voluntary Student Organization, Student Experiences & Engagement",SIAM.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of American Foresters,"We are the Society of American Foresters (SAF) Corvallis Student Chapter, a professional organization dedicated to education and scientific pursuit in the field of natural resources. As a student chapter, we help student members stay connected with the larger, national organization and provide a setting for networking and discussion with peers. Newcomers and graduates alike are always welcome to attend our meetings although we strongly encourage interested students to become official SAF members.","Voluntary Student Organization, Student Experiences & Engagement",SAF.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Asian Scientists and Engineers Chapter at OSU,"SASE at OSU exists to develop intensive programs for the advancement of Asian heritage and other underprivileged students at OSU in education and employment. Our programs will respect, support and enhance diversity and inclusion of OSU. We  will be PNW affiliations of the West side (SASE West Region) together with the University of Washington and the University of Portland.",Sponsored Student Organization sponsored by Center for Diversity and Inclusion - COE,SASE.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Automotive Engineers,"""SAE International is a global association of more than 138,000 engineers and related technical experts in the aerospace, automotive and commercial-vehicle industries. SAE International's core values are life-long learning and standards development. SAE International's charitable arm is the SAE Foundation, which supports many programs, including A World In Motion® and the Collegiate Design Series.” 

The Oregon State Chapter of SAE Focuses on competing in the collegiate design series put on by SAE international.  These competitions give students the opportunity to get hands on experience with design, manufacturing, testing, project management, and racecars. Each competition has their own rules and challenges with Formula and Baja being the largest. There are approximately 600 Formula SAE teams and 250 Baja teams competing internationally. 

 In 2009 The Oregon state formula team combined with a German team, DHBW. The collaboration is now known as GFR (Global Formula Racing).  The formula team competes both in the US and in Europe every year.","Department Student Organization, Student Experiences & Engagement",Societyofautomotiveengineers@oregonstate.edu,Recognized For: 2023/2024
Society of Healthcare Executives at Oregon State University,"SHE is dedicated to the student’s professional development by providing education, networking, and volunteering opportunities. We are focused on connecting students with industry professionals, faculty and other students within the Health Management and Policy Program. SHE is the student’s premier resource within the Healthcare Management and Policy major.","Voluntary Student Organization, Student Experiences & Engagement",HealthcareExecutives.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Hispanic Professional Engineers,"The OSU chapter is currently one of three university chapters in the state of Oregon. Our primary function is to enhance and achieve the potential of Hispanic students and professionals in engineering, math and science. We fulfill our mission by increasing educational opportunities, promoting professional and personal growth, and carrying out our social responsibility to be involved in education issues and enhancing pride within our organization while reinforcing our reputation as a vital Hispanic organization.","Voluntary Student Organization, Student Experiences & Engagement",SHPE.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Manufacturing Engineers at Oregon State University Chapter,"Professional development, cross-disciplinary exposure, and networking opportunities for students within the manufacturing engineering and manufacturing technology framework.","Sponsored Student Organization sponsored by Mechanical, Industrial, & Manufacturing Engineering",SME.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Physics Students,"With the goals of promoting academic progress and providing a sense of community to those with scientific interests, the Society of Physics Students has a longstanding reputation of campus involvement. We are open to anyone interested in physics, not just those within a physics program. We welcome anyone interested in learning about physics and those looking for community within the college of science.","Voluntary Student Organization, Student Experiences & Engagement",PhysicsStudents.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Scholarly Sistas,Society of Scholarly Sistas is a student organization that focuses on empowering women through scholarship and community service.,"Voluntary Student Organization, Student Experiences & Engagement",SSS.clubs@oregonstate.edu,Recognized For: 2023/2024
Society of Women Engineers,"The Society of Women Engineer's mission is to empower women to achieve full potential in careers as engineers and leaders, expand the image of the engineering and technology professions as a positive force in improving the quality of life, and demonstrate the value of diversity and inclusion.

At OSU, SWE provides students who identify as or support women in engineering with social and professional development opportunities. SWE provides resources for members to succeed academically, connects them to internships and job opportunities, and provides a community where new students can meet friends and mentors.",Sponsored Student Organization sponsored by College of Engineering,WomenEngineers.clubs@oregonstate.edu,Recognized For: 2023/2024
Sociology Club at OSU,"The OSU Sociology Club exists to promote student engagement within the Sociology Department and the OSU community. The club shall accomplish this purpose by providing opportunities for students for
professional development, facilitating social interaction among students and faculty, empowering students to think critically, and educating students about sociological inquiry outside of the classroom.","Voluntary Student Organization, Student Experiences & Engagement",SOC.clubs@oregonstate.edu,Recognized For: 2023/2024
Space Exploration Club,SEC is an interdisciplinary area for people interested in learning about space exploration and the development of space.,"Voluntary Student Organization, Student Experiences & Engagement",spaceexploration.clubs@oregonstate.edu,Recognized For: 2023/2024
Special Tactics Instructional Group,The Special Tactics Instructional Group aims to provide military-oriented training to supplement the normal ROTC curriculum.,"Affiliated Student Organization, Student Experiences & Engagement",SpecialTactics.clubs@oregonstate.edu,Recognized For: 2023/2024
Sports Business Club at Oregon State,Sports Business Club aims to promote a community of students who are interested in the sports industry by providing an opportunity to network with industry professionals and gain career insight.,Sponsored Student Organization sponsored by College of Business,SportsBusiness.clubs@oregonstate.edu,Recognized For: 2023/2024
Sports Product Development Club,"The Oregon State Sports Product Development Club works to create the future of sport today through industry engagement, classroom outreach, and hands-on product development. The club connects students to industry professionals in the sporting goods world. The club also works to give students experience in the product development cycle of innovative sports equipment.","Sponsored Student Organization sponsored by Electrical Engineering and Computer Science, College of Business, and Mechanical, Industrial, & Manufacturing Engineering",SportsProduct.clubs@oregonstate.edu,Recognized For: 2023/2024
Stock Horse Club,"The Stock Horse Club at Oregon State University is dedicated to improving its members’ horsemanship skills through education and competition in a safe and enjoyable environment. Also while preserving the traditions of the American Stock Horse Association. The club welcomes riders of all skill levels and horses of any breed with no registration restrictions. The Stock Horse Club focuses on 4 elements of the versatile ranch horse: Stock Horse Pleasure, Stock Horse Trail, Stock Horse Reining and Stock Horse Working Cowhorse. The club participates in educational clinics and seminars once or twice a term to build skills and knowledge. Competition is optional and the format involves 3 day shows with educational clinics.","Department Student Organization, Rec Sports/Sport Clubs",stock.horse@oregonstate.edu,Recognized For: 2023/2024
Stock Market Club,"The Stock Market Club is a club focused on educating students on the fundamental principles of investment. This club will provide information that will be applicable to anyone who plans on investing in the stock market in the future, wether that be as an institutional investor, managing a family trading desk, or investing for your own retirement. The club is also meant for any investor of any skill level whether you are just starting or consider yourself an advanced investor.","Voluntary Student Organization, Student Experiences & Engagement",quilliat@oregonstate.edu,Recognized For: 2023/2024
Student Association for Fire Ecology,"SAFE, also known as the Pyros is a student chapter of the Association for Fire Ecology. Activities include academic discussions of scholarly fire ecology articles, guest experts, field trips and fire ecology conference attendance.","Sponsored Student Organization sponsored by Forest, Engineering, Resources & Management",FireEcology.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Chapter of American Veterinary Society of Animal Behavior (Formerly known as Animal Behavior Club),"SCAVSAB is an organization for veterinary students at the Carlson College of Veterinary Medicine. The purpose is to provide students with educational opportunities in animal behavior and related subjects, and encourage interest in behavior medicine. This club focuses on promoting modern, scientifically proven methods of behavior modification and learning theory, and seeks to give students confidence in addressing behavior misconceptions, misunderstandings, and outdated information.","Voluntary Student Organization, Student Experiences & Engagement",animalbehavior.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Chapter of the American Association of Equine Practitioners,Our purpose is to provide opportunities and resources to supplement the veterinary program at Oregon State University Carlson College of Veterinary Medicine and help students reach their goals in equine medicine for the betterment of equine health and well being.,"Voluntary Student Organization, Student Experiences & Engagement",EquinePractitioners.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Chapter of the American Association of Feline Practitioners (SCAAFP),"To develop the knowledge and skills necessary to be a successful feline practitioner. Provide learning opportunities for students interested in feline medicine. 

To provide opportunities for student's opportunity for networking, leadership, learning, diversity, and social responsibility as they relate to feline medicine. 

to promote awareness of issues within feline medicine.","Voluntary Student Organization, Student Experiences & Engagement",scaafp.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Chapter of the American Veterinary Medical Association,"The Carlson College of Veterinary Medicine's Student Chapter of the American Veterinary Medical Association is 1 of 28 chapters from United States and Canadian Veterinary Colleges that comprise the Student American Veterinary Medical Association (SAVMA). The Student American Veterinary Medical Association's goals are modeled after its parent organization, the American Veterinary Medical Association (AVMA). The AVMA's objectives are ""...to advance the science and art of Veterinary Medicine, including its relationship to agriculture and public health."" SAVMA was formed in 1969 and today is comprised of over 8,000 veterinary medical students at 28 schools. The goals of the OSU Student Chapter of the American Veterinary Medical Association (SCAVMA) are:

1. To promote a spirit of friendly relations among veterinary students.
2. To provide additional opportunities for the members to gain professional knowledge and an understanding of professional ethics and conduct.
3. To demonstrate the virtues of organized effort.
4. To promote an attitude of professionalism, fairness and honesty among veterinary students in the College of Veterinary Medicine.
5. To develop characteristics of leadership through training received in conducting chapter affairs.
6. To make available to the students, the opportunities offered by the AVMA to it's student chapters.","Voluntary Student Organization, Student Experiences & Engagement",SAVMA.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Literary Club,"A club for analysis, discussion, and group engagement with literature and the arts.","Voluntary Student Organization, Student Experiences & Engagement",StudentLiterary.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Public Health Association at OSU,"The Student Public Health Association is an academic student-run organization that provides students opportunities to engage in professional and student development activities, community service, and social activities related to Public Health.","Voluntary Student Organization, Student Experiences & Engagement",PublicHealth.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Veterans Association,"We are an Association that is composed of students who are military connected. (Veteran, dependent, spouse, supporters, etc . . .) Our focus is to provide advocacy, support, and camaraderie for the military-connected community at Oregon State University.",Sponsored Student Organization sponsored by Military and Veteran Resources,StudentVeterans.clubs@oregonstate.edu,Recognized For: 2023/2024
Student Veterinary Emergency and Critical Care Society,The goal of this club is to provide students with additional education and opportunities in the field of emergency and critical care medicine.,"Voluntary Student Organization, Student Experiences & Engagement",StudentVetEmergencyandCriticalCareSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
Students Active For Ending Rape,"Students Active For Ending Rape (SAFER) is a student-led organization empowering healthy and consensual relationships. The goal is this: end rape culture through institutional survivor advocacy, providing tangible resources, and comprehensive sexual assault prevention trainings. We host trauma informed yoga nights, consent teachings, self-defense classes with local martial arts studios, and further OSU survivor resources.","Voluntary Student Organization, Student Experiences & Engagement",safer.clubs@oregonstate.edu,Recognized For: 2023/2024
Students for Cultivating Change,"Students for Cultivating Change (SCC) exists to build a community for LGBTQ+ folk and allies within the College of Agricultural Sciences. Our community serves as a visible and safe space for members to come together in order to connect, network, and celebrate LGBTQ+ pride within the entire Agricultural community!",Sponsored Student Organization sponsored by College of Agricultural Sciences,CultivatingChange.clubs@oregonstate.edu,Recognized For: 2023/2024
Students for Health Humanities,"Equipping students to implement health humanities projects in their communities, hospitals, and local public policy. Investigating experiences of health and illness which are marginalized, difficult, or invisible and can often not be quantified.","Voluntary Student Organization, Student Experiences & Engagement",healthhumanities.clubs@oregonstate.edu,Recognized For: 2023/2024
Students for Reproductive Freedom,"Our mission is to advocate for women's reproductive rights on campus. We aim to educate our peers about reproductive health, and to provide students the materials to make a difference. We want to create a community that people can feel comfortable in to discuss reproductive rights and advocacy.","Voluntary Student Organization, Student Experiences & Engagement",reproductivefreedom.clubs@oregonstate.edu,Recognized For: 2023/2024
Students of Chabad Corvallis at OSU,The purpose of ‘Students of Chabad Corvallis’ shall be to enrich the Jewish lives of the Jewish Student body through the Chabad of Corvallis by spreading the ideals and values of the Chabad movement onto campus.,"Voluntary Student Organization, Student Experiences & Engagement",studentsofchabad.clubs@oregonstate.edu,Recognized For: 2023/2024
Students United for Palestinian Equal Rights,We are a student organization that strives to create awareness and promote solidarity regarding Israeli military occupation and violation of Palestinian human rights.,"Voluntary Student Organization, Student Experiences & Engagement",super.clubs@oregonstate.edu,Recognized For: 2021/2022
Supply Chain Club,"Our goal is to create a welcoming environment for anyone interested in exploring the Supply Chain Industry. We provide internship/job opportunities, guest speakers, company tours, supply chain certificates, scholarships, mentorship programs, and free food.",Sponsored Student Organization sponsored by College of Business,supplychain.clubs@oregonstate.edu,Recognized For: 2023/2024
Sustainability in Business Club,"The Sustainability in Business Club provides students interested in sustainability opportunities to gain resume-building experiences to secure their desired sustainability career, internships, and leadership opportunities before graduation. This club would also act as a way to build a community among those who are interested in sustainability. This club is open to all OSU students, regardless of major.",Sponsored Student Organization sponsored by College of Business,SustainableBus.clubs@oregonstate.edu,Recognized For: 2023/2024
Sustainable Ocean Alliance (SOA),"SOA will activate young adults, develop and implement innovative solutions, and mobilize the global movement to restore the health of the ocean in our lifetime.","Voluntary Student Organization, Student Experiences & Engagement",oceanalliance.clubs@oregonstate.edu,Recognized For: 2023/2024
Swiftie Squad,"A safe space for Taylor Swift fans aka Swifties to be brought together through a shared love for Taylor, inspiring new friendships and lifelong memories","Voluntary Student Organization, Student Experiences & Engagement",swifties.clubs@oregonstate.edu,Recognized For: 2023/2024
Swim Club,This organization is a competitive swimming club that provides the opportunity for students to compete against other college club swimming teams. Students will be able to practice and train together with the common goal of swimming faster as well as the potential to qualify for the national championship meet.,"Voluntary Student Organization, Student Experiences & Engagement",swim.clubs@oregonstate.edu,Recognized For: 2023/2024
Swing Club,We are a lindy hop social dance club at Oregon State University. Join us for our lessons and dances!,"Voluntary Student Organization, Student Experiences & Engagement",swing.clubs@oregonstate.edu,Recognized For: 2023/2024
Table Tennis Club,"We are a social club with the ability to participate competitively. Come to just play or improve your skills!

We have practices on Monday, Tuesday and Thursday from 630pm-830pm. We also participate in NCTTA tournaments and host our own events for members.","Department Student Organization, Rec Sports/Sport Clubs",tabletennis@oregonstate.edu,Recognized For: 2023/2024
Tae Kwon Do Club,"The purpose of this club is to further our skills and knowledge of martial arts, maintain physical fitness, promote mental growth, and help each other achieve these goals.","Department Student Organization, Rec Sports/Sport Clubs",taekwondo@oregonstate.edu,Recognized For: 2023/2024
Taiwanese Student Association,"Help new coming students from Taiwan to fit in, and provide a chance for Taiwanese students to get together and make friends at OSU while easing their transition into Corvallis life. Furthermore, the TWSA does not limit to Taiwanese; it is for anyone that wants to learn about Taiwanese culture. The TWSA will also deliver the diversity around campus.","Voluntary Student Organization, Student Experiences & Engagement",TWSA.clubs@oregonstate.edu,Recognized For: 2023/2024
Tau Beta Pi - Oregon Alpha Chapter,"Tau Beta Pi is the only engineering honor society representing the entire engineering profession. It is the nation's second-oldest honor society, founded at Lehigh University in 1885 to mark in a fitting manner those who have conferred honor upon their Alma Mater by distinguished scholarship and exemplary character as students in engineering, or by their attainments as alumni in the field of engineering, and to foster a spirit of liberal culture in engineering colleges.",Sponsored Student Organization sponsored by College of Engineering,TauBetaPi.clubs@oregonstate.edu,Recognized For: 2023/2024
Tau Kappa Epsilon,"Founded by Opportunity Out of Defeat and built on the honest convictions of Love, Charity and Esteem, Tau Kappa Epsilon is a men’s social fraternity 125 years in the making. We encourage you to take the opportunity to learn more about our brotherhood, available scholarships, educational programming and leadership development to see why we are the Fraternity for Life.","Index Negative Balance , Center for Fraternity & Sorority Life",TauKappaEpsilon.clubs@oregonstate.edu,Recognized For: 2023/2024
TEAMTox,"The primary mission of the Trainees of Environmental & Molecular Toxicology (TEAMTox) is to expand the professional development of trainees within the Environmental and Molecular Toxicology (EMT) department, including graduate students and postgraduate trainees, and undergraduate students with a minor or interest in Toxicology. We accomplish this by organizing K-12 and community outreach, building community within our club through social activities, creating opportunities for mentorship, providing support for students to attend academic conferences, and acting as a bridge for communication between trainees and EMT faculty.","Department Student Organization, Student Experiences & Engagement",teamtox.clubs@oregonstate.edu,Recognized For: 2023/2024
Tennis Club,"The OSU Tennis Club is a student organization that strives to bring the lifetime sport of tennis to the OSU community. We provide members with friendly community that connects students with other student players, where they can play, practice, and learn tennis in a safe and engaging environment. For advanced and competitive players, the club sponsors a traveling team that participates in various types of tournaments ranging from friendly matches to more official intercollegiate tournaments. The traveling team’s goal is to bring prestige to OSU’s name. We practice 7-9 pm Monday through Friday in the Tennis Center.","Department Student Organization, Rec Sports/Sport Clubs",tennis@oregonstate.edu,Recognized For: 2023/2024
Thai Student Association,"Thai Student Association is an organization that aims to promote the customs, culture, and art of Thailand to the OSU community.","Voluntary Student Organization, Student Experiences & Engagement",thai.clubs@oregonstate.edu,Recognized For: 2023/2024
The Collegiate Alliance for Fighting Homelessness,The official chapter of The Collegiate Alliance for Fighting Homelessness (CAFH) at Oregon State University. CAFH is a nationally recognized public charity and is tax-exempt under section 501(c)(3) of the Internal Revenue Code. The mission of CAFH is to support those affected by homelessness.,"Voluntary Student Organization, Student Experiences & Engagement",cafh.clubs@oregonstate.edu,Recognized For: 2023/2024
The Paulines,"A club  named after Pauline Barto Sandoz, the first woman to graduate from the College of Forestry. We are a club focused on empowering women, womxn, gender minorities, underrepresented demographics, and allies in the
College of Forestry and broader Natural Resources fields as students, faculty, or community members associated with Oregon State University.","Voluntary Student Organization, Student Experiences & Engagement",thepaulines.clubs@oregonstate.edu,Recognized For: 2023/2024
The ResiSTORE,The ResiSTORE is an electronic component store located in the basement of Dearborn Hall.,"Voluntary Student Organization, Student Experiences & Engagement",resistore.clubs@oregonstate.edu,Recognized For: 2023/2024
The Valley Surf Club,"The VSC is a student run club for surf and ocean enthusiasts to connect at OSU. The club stands as an organization for OSU community members to share interests, skills, and public event information related to the Oregon Coast, the ocean, and surfing.","Voluntary Student Organization, Student Experiences & Engagement",valleysurf.clubs@oregonstate.edu,Recognized For: 2023/2024
The Wishing Crane Project,"The Wishing Crane Project (TWCP) is a 100% student-run nonprofit organization that creates arts and crafts for hospices and hospitals throughout the United States. Our mission is to instill positivity and alleviate the feelings of loneliness that hospice and hospital patients commonly experience every day through gifting patients cranes, cards, and other handmade goods.","Voluntary Student Organization, Student Experiences & Engagement",wishingcraneproject.clubs@oregonstate.edu,Recognized For: 2023/2024
Theta Chi Fraternity,Theta Chi Sigma Chapter was chartered at Oregon State University in 1916 and remains one of the oldest Fraternities at the university.,"Affiliated Student Organization, Center for Fraternity & Sorority Life",ThetaChi.clubs@oregonstate.edu,Recognized For: 2023/2024
Triathlon Club,"Club made up of students, faculty, staff, and affiliates of Oregon State University who want to learn about, train for, race, or participate in triathlons and other multi-sport events. We have members with a wide range of abilities, from newbies to Ironmen as well as several experienced volunteer club coaches.","Department Student Organization, Rec Sports/Sport Clubs",Triathlon@oregonstate.edu,Recognized For: 2023/2024
Turning Point USA at Corvallis,"Turning Point USA is a 501(c)3 non-profit organization founded in 2012 by Charlie Kirk. The organization’s mission is to identify, educate, train, and organize students to promote the principles of freedom, free markets, and limited government.","Voluntary Student Organization, Student Experiences & Engagement",turningpoint.clubs@oregonstate.edu,Recognized For: 2023/2024
UNICEF,"Unicef Club directly helps children in war torn countries across the world by fundraising for the UN's projects. UNICEF distributes food, water, shelter, immunizations, and education to children and children refugees. This club focuses on raising money and  awareness and educating the OSU student body on global crises.","Voluntary Student Organization, Student Experiences & Engagement",unicef.clubs@oregonstate.edu,Recognized For: 2023/2024
United For Oceanography,"United For Oceanography intends to be a place for Ocean Science majors, Oceanography majors and those interested in ocean science to connect, network, bond and engage in similar interests.","Sponsored Student Organization sponsored by College of Earth, Ocean & Atmospheric Sciences",unitedoceanography.clubs@oregonstate.edu,Recognized For: 2023/2024
University Christian Center Fellowship,"We are a Christian college ministry dedicated to communicating Christ from the Corvallis to the continents, making disciples, and growing/serving others as disciples.","Voluntary Student Organization, Student Experiences & Engagement",UCCFellowship.clubs@oregonstate.edu,Recognized For: 2023/2024
Valley Springs Students,"Valley Springs Students was established to serve the Oregon State University(OSU) community while also promoting a growth of OSU students who want to grow closer together in friendship, build community, share faith, and love of Jesus. The primary goal of this organization is to serve all OSU students, regardless of being part of the organization or not, while being a community for them on campus that shares the love of Jesus in a manner that is welcoming for any students interested. We value to a high degree building real genuine relationships, student interaction, reading the bible, hospitality, supporting people who are getting to know Jesus, prayer, and supporting OSU students in anyway we can to help improve their experience while being at OSU.","Voluntary Student Organization, Student Experiences & Engagement",valleyspringstudents.clubs@oregonstate.edu,Recognized For: 2023/2024
Veterinary Business Management Association,"Our mission is to help advance the veterinary profession through increased business knowledge, creating networking opportunities and empowering students to achieve their personal and professional goals.","Voluntary Student Organization, Student Experiences & Engagement",VetBusiness.clubs@oregonstate.edu,Recognized For: 2023/2024
Veterinary Students Advancing Diversity,To advocate for and empower current veterinary students regarding issues of race and diversity. We hope to build safe spaces for conversation and community.,"Voluntary Student Organization, Student Experiences & Engagement",VetDiversity.clubs@oregonstate.edu,Recognized For: 2023/2024
Veterinary Sx Club,"To develop the knowledge and skills necessary for a career in veterinary medicine and provide professional learning opportunities for veterinary students interested in a surgical specialty.

To educate on surgical specialties in large, small, exotic, zoo, aquatic, laboratory, and wildlife animal medicine.

To provide opportunities for networking, leadership, learning, diversity, and social responsibility as they relate to the surgical field.

To promote awareness of issues within the surgical profession.","Voluntary Student Organization, Student Experiences & Engagement",VetSx.clubs@oregonstate.edu,Recognized For: 2023/2024
Video Game Development Club,OSU Video Game Development Club provides students with experiential learning opportunities and collaboratively develop video games outside of the classroom.,Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,gamedev.clubs@oregonstate.edu,Recognized For: 2023/2024
Vietnamese Student Association,"Our mission is to promote, educate, and inform college students about the Vietnamese culture and heritage.","Voluntary Student Organization, Student Experiences & Engagement",vsa.clubs@oregonstate.edu,Recognized For: 2023/2024
Virtual/Augmented Reality Club at Oregon State University,"A space for all things VR and AR! The organization is designed to increase the exposure to virtual and augmented reality technologies through public demonstrations, development experience, projects with industry and experiential learning workshops. Members have access to  XR technology and the organization will provide an innovative space to learn and create in. The organization will aim to connect not only students, but also faculty, industry and other interested groups.","Voluntary Student Organization, Student Experiences & Engagement",VirtualReality.clubs@oregonstate.edu,Recognized For: 2023/2024
Waste Watchers,"Waste Watchers Sustainability Club's mission is to engage students and the community in waste reduction at OSU by providing educational programming, meaningful opportunities for action, and empowerment of future leaders.","Voluntary Student Organization, Student Experiences & Engagement",wastewatchers.clubs@oregonstate.edu,Recognized For: 2023/2024
Women in Big Data,"A club to cultivate tangible opportunities for women; unlock latent potential through accessible training, act as a catalyst for advancement with thought leadership promotion, and empower equity allies of any gender with inclusive mentorship programing.",Sponsored Student Organization sponsored by College of Engineering,WomeninData.clubs@oregonstate.edu,Recognized For: 2023/2024
Women in Policy at Oregon State University's,The mission of Women in Policy is to provide a forum for women and allies to engage in policy; create strong networks; find mentors and be mentors; and challenge the under-representation of women in the policy process by changing attitudes and structures.,"Voluntary Student Organization, Student Experiences & Engagement",WomeninPolicy.clubs@oregonstate.edu,Recognized For: 2023/2024
Women Mean Business,"Women Mean Business is open to students of all majors at OSU. We are here to provide a sense of community for women in male dominated fields. Our pillars our community, advocacy, and career competency. Each term we have a few meetings focusing on each. 
Come to a meeting: Thursday evenings in Austin Hall!

The purpose of WMB shall be to provide a place for the growth of students at Oregon State University in their academic, professional, and personal skills. The purpose of WMB shall be to expand the knowledge of students, faculty and staff of Oregon State University in areas regarding gender equality in the workplace, respect for all identities, and ways in which these areas can be improved from a feminist perspective.

The purpose of WMB shall be to provide workshops, networking events, lectures, panels, open discussions, and other developmental activities to students at Oregon State University.",Sponsored Student Organization sponsored by College of Business,WMB.clubs@oregonstate.edu,Recognized For: 2023/2024
Women's Lacrosse Club,Oregon State Women’s Lacrosse is a competitive intercollegiate team in the Northwest Women’s Lacrosse Association.  We are a student-run organization for women of all playing levels.,"Department Student Organization, Rec Sports/Sport Clubs",womens.lacrosse@oregonstate.edu,Recognized For: 2023/2024
